row_index,sequence_id,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
205,dataset4__car3,dataset4/car3,dataset4,car3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car3\car3_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car3\annotation.txt,matched,UAV20L/car3,,
206,dataset4__car6,dataset4/car6,dataset4,car6,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car6\car6_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car6\annotation.txt,matched,UAV20L/car6,,
207,dataset4__car8,dataset4/car8,dataset4,car8,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car8\car8_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car8\annotation.txt,matched,UAV20L/car8,,
208,dataset4__car9,dataset4/car9,dataset4,car9,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car9\car9_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\car9\annotation.txt,matched,UAV20L/car9,,
209,dataset4__group1,dataset4/group1,dataset4,group1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\group1\group1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\group1\annotation.txt,matched,UAV20L/group1,,
210,dataset4__group2,dataset4/group2,dataset4,group2,local,scored,2683,2475,2475,2683,0.5892640692640694,0.7253102453102453,0.6436825396825399,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\group2\group2_96.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV20L\group2.txt,matched,UAV20L/group2,,
211,dataset4__group3,dataset4/group3,dataset4,group3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\group3\group3_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\group3\annotation.txt,matched,UAV20L/group3,,
212,dataset4__person14,dataset4/person14,dataset4,person14,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person14\person14_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person14\annotation.txt,matched,UAV20L/person14,,
213,dataset4__person17,dataset4/person17,dataset4,person17,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person17\person17_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person17\annotation.txt,matched,UAV20L/person17,,
214,dataset4__person19,dataset4/person19,dataset4,person19,local,scored,4357,4006,4006,4357,0.8035209091125219,0.8788602810070609,0.8336566578703375,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person19\person19_96.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV20L\person19.txt,matched,UAV20L/person19,,
215,dataset4__person2,dataset4/person2,dataset4,person2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person2\person2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person2\annotation.txt,matched,UAV20L/person2,,
216,dataset4__person20,dataset4/person20,dataset4,person20,local,scored,1783,1783,1783,1783,0.786662393504794,0.9312020938493175,0.8444782736426035,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person20\person20_96.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV20L\person20.txt,matched,UAV20L/person20,,
