row_index,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,sequence_id,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
83,dataset2/Wakeboarding1,dataset2,Wakeboarding1,local,scored,77,77,77,77,dataset2__Wakeboarding1,0.7291280148423006,0.8818800247371676,0.7902288188002475,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Wakeboarding1\Wakeboarding1_24.mp4,C:\Users\yousif\Documents\AIC Data\our-data\DTB70\Wakeboarding1\groundtruth_rect.txt,matched,DTB70/Wakeboarding1,,
84,dataset2/Wakeboarding2,dataset2,Wakeboarding2,aic,unscored,0,0,0,0,dataset2__Wakeboarding2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Wakeboarding2\Wakeboarding2_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Wakeboarding2\annotation.txt,matched,DTB70/Wakeboarding2,,
85,dataset2/Walking,dataset2,Walking,aic,unscored,0,0,0,0,dataset2__Walking,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Walking\Walking_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Walking\annotation.txt,matched,DTB70/Walking,,
86,dataset2/Yacht2,dataset2,Yacht2,aic,unscored,0,0,0,0,dataset2__Yacht2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Yacht2\Yacht2_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Yacht2\annotation.txt,matched,DTB70/Yacht2,,
87,dataset2/Yacht4,dataset2,Yacht4,aic,unscored,0,0,0,0,dataset2__Yacht4,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Yacht4\Yacht4_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Yacht4\annotation.txt,matched,DTB70/Yacht4,,
88,dataset2/Zebra,dataset2,Zebra,aic,unscored,0,0,0,0,dataset2__Zebra,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Zebra\Zebra_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset2\Zebra\annotation.txt,matched,DTB70/Zebra,,
89,dataset3/air_conditioning_box1,dataset3,air_conditioning_box1,local,scored,437,437,437,437,dataset3__air_conditioning_box1,0.5751334858886346,0.6984853437942683,0.624474229050888,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\air_conditioning_box1\air_conditioning_box1_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\air conditioning box1.txt,matched,V4RFlight112/air conditioning box1,,
90,dataset3/air_conditioning_box2,dataset3,air_conditioning_box2,aic,unscored,0,0,0,0,dataset3__air_conditioning_box2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\air_conditioning_box2\air_conditioning_box2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\air_conditioning_box2\annotation.txt,matched,V4RFlight112/air conditioning box2,,
91,dataset3/basketball_player1,dataset3,basketball_player1,aic,unscored,0,0,0,0,dataset3__basketball_player1,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player1\basketball_player1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player1\annotation.txt,matched,V4RFlight112/basketball player1,,
92,dataset3/basketball_player1_1-n,dataset3,basketball_player1_1-n,aic,unscored,0,0,0,0,dataset3__basketball_player1_1-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player1_1-n\basketball_player1_1-n_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player1_1-n\annotation.txt,matched,V4RFlight112/basketball player1_1-n,,
